"","Date","agency_cd","site_no","Flow","Flow_cd","mod.flow"
"1",1984-01-01,"USGS","01671100",152,"A",445.3248767
"2",1984-01-02,"USGS","01671100",114,"A",265.0842745
"3",1984-01-03,"USGS","01671100",92,"A",227.53408241
"4",1984-01-04,"USGS","01671100",92,"A",210.91326329
"5",1984-01-05,"USGS","01671100",90,"A",198.17546654
"6",1984-01-06,"USGS","01671100",90,"A",187.29324722
"7",1984-01-07,"USGS","01671100",90,"A",178.69328311
"8",1984-01-08,"USGS","01671100",79,"A",169.45165254
"9",1984-01-09,"USGS","01671100",79,"A",160.24122666
"10",1984-01-10,"USGS","01671100",92,"A",156.92746545
"11",1984-01-11,"USGS","01671100",455,"A",171.75119541
"12",1984-01-12,"USGS","01671100",403,"A",153.55502225
"13",1984-01-13,"USGS","01671100",305,"A",140.87417507
"14",1984-01-14,"USGS","01671100",172,"A",133.86796761
"15",1984-01-15,"USGS","01671100",144,"A",126.65578699
"16",1984-01-16,"USGS","01671100",131,"A",119.75860498
"17",1984-01-17,"USGS","01671100",123,"A",115.0946064
"18",1984-01-18,"USGS","01671100",113,"A",115.3470354
"19",1984-01-19,"USGS","01671100",111,"A",117.9109044
"20",1984-01-20,"USGS","01671100",95,"A",107.1217904
"21",1984-01-21,"USGS","01671100",85,"A",100.33859062
"22",1984-01-22,"USGS","01671100",78,"A",95.10896778
"23",1984-01-23,"USGS","01671100",75,"A",90.6731143
"24",1984-01-24,"USGS","01671100",73,"A",89.62343431
"25",1984-01-25,"USGS","01671100",119,"A",113.56704951
"26",1984-01-26,"USGS","01671100",172,"A",125.14438485
"27",1984-01-27,"USGS","01671100",194,"A",131.8734493
"28",1984-01-28,"USGS","01671100",174,"A",129.91678426
"29",1984-01-29,"USGS","01671100",142,"A",123.09804436
"30",1984-01-30,"USGS","01671100",123,"A",118.05209829
"31",1984-01-31,"USGS","01671100",133,"A",117.72999809
"32",1984-02-01,"USGS","01671100",140,"A",112.35415508
"33",1984-02-02,"USGS","01671100",127,"A",105.84397411
