"","Model"
"Overall Mean Flow",112
"Jan. Mean Flow",138
"Feb. Mean Flow",173
"Mar. Mean Flow",202
"Apr. Mean Flow",176
"May Mean Flow",128
"Jun. Mean Flow",109
"Jul. Mean Flow",67.8
"Aug. Mean Flow",54.7
"Sep. Mean Flow",73.2
"Oct. Mean Flow",56.1
"Nov. Mean Flow",83.5
"Dec. Mean Flow",88.7
