"","Model"
"Overall Mean Flow",291
"Jan. Mean Flow",393
"Feb. Mean Flow",552
"Mar. Mean Flow",549
"Apr. Mean Flow",427
"May Mean Flow",295
"Jun. Mean Flow",237
"Jul. Mean Flow",171
"Aug. Mean Flow",157
"Sep. Mean Flow",132
"Oct. Mean Flow",137
"Nov. Mean Flow",186
"Dec. Mean Flow",278
