"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",61,42.3,-30.7
"Feb. Low Flow",74,68.1,-7.97
"Mar. Low Flow",100,99.5,-0.5
"Apr. Low Flow",105,114,8.57
"May Low Flow",136,131,-3.68
"Jun. Low Flow",136,137,0.735
"Jul. Low Flow",136,110,-19.1
"Aug. Low Flow",116,119,2.59
"Sep. Low Flow",79,75.9,-3.92
"Oct. Low Flow",69,52.7,-23.6
"Nov. Low Flow",59,45,-23.7
"Dec. Low Flow",56,43,-23.2
