"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",72.8,55.6,-23.6
"Med. 1 Day Min",124,79.2,-36.1
"Min. 3 Day Min",86,61.6,-28.4
"Med. 3 Day Min",181,89.9,-50.3
"Min. 7 Day Min",99.8,75.4,-24.4
"Med. 7 Day Min",259,125,-51.7
"Min. 30 Day Min",125,93.1,-25.5
"Med. 30 Day Min",306,146,-52.3
"Min. 90 Day Min",137,117,-14.6
"Med. 90 Day Min",375,204,-45.6
"7Q10",150,85.6,-42.9
"Year of 90-Day Low Flow",2002,1986,100
"Drought Year Mean",254.335068493151,233.844272410673,-8.06
"Mean Baseflow",298,299,0.336
