"","Model"
"Overall Mean Flow",46.6
"Jan. Mean Flow",62.7
"Feb. Mean Flow",82
"Mar. Mean Flow",103
"Apr. Mean Flow",71.4
"May Mean Flow",41.7
"Jun. Mean Flow",26.7
"Jul. Mean Flow",13.6
"Aug. Mean Flow",19.2
"Sep. Mean Flow",40.2
"Oct. Mean Flow",22.6
"Nov. Mean Flow",36.6
"Dec. Mean Flow",42.4
