pid,riverseg,da
6458032,YL0_7010_0000_beaverdam,17.57
4712896,JL2_6440_6441_moormans_sugar_hollow,17
5697195,YM2_6120_6430_ni_reservoir,25.268455795755
5714522,RU4_5640_6030_lake_pelham,26.15
5758414,JL1_7200_7250_black_creek_rsvr,3.22
6528689,PS5_4380_4370_crooked_run,47.04
4704113,YL0_6930_0000_richardsons_mill,5.4
4713595,JL6_6740_7100_cobbs_creek,1.35
4704546,YP3_6470_6690_spring_branch,2
4713247,JL6_7440_7430_harris_creek,NA
4705014,OD3_8720_8900_leatherwood,68.6
4712577,JU1_6590_6600_bathco-upper,NA
4707276,RU5_6030_0001_rpr,NA
4708018,OR3_7740_8271_tinker,12.9
4712384,JU2_6600_6810_lbc,27.23
4708448,OR3_7740_8271_carvins,NA
4431664,JL1_6560_6440_beaver_creek,9.52
4708413,PM7_4620_4580_broad_run,39.577
4708766,RU2_6090_6220_whites_run,NA
4709453,JL2_6441_6520_ivy_creek,NA
5738917,JL2_6440_6441_buck_mtn_creek,36
4712038,OR3_7740_8271_catawba,22.4
5866427,PS2_5560_5100_linville_creek,46.04
4704884,JB0_7050_0000_little_creek,5.098092907436
6576544,JB0_7050_0001_cranstons_mill,6.99
4409694,YP3_6670_6720_mill_creek_meadows_pond,6.99
4686638,JB0_7050_0000_yarmouth,10.11
4641253,OR2_8130_7900_spring_hollow,NA
5683226,OD3_8720_8900_ut_leatherwood,NA
