"","Model"
"Overall Mean Flow",1180
"Jan. Mean Flow",1390
"Feb. Mean Flow",1570
"Mar. Mean Flow",2150
"Apr. Mean Flow",1780
"May Mean Flow",1230
"Jun. Mean Flow",1090
"Jul. Mean Flow",716
"Aug. Mean Flow",778
"Sep. Mean Flow",929
"Oct. Mean Flow",781
"Nov. Mean Flow",819
"Dec. Mean Flow",1010
