"","Model"
"1% Non-Exceedance",0.344
"5% Non-Exceedance",2.67
"50% Non-Exceedance",33.1
"95% Non-Exceedance",189
"99% Non-Exceedance",586
"Sept. 10% Non-Exceedance",1.33
