"","Model"
"Overall Mean Flow",168
"Jan. Mean Flow",221
"Feb. Mean Flow",298
"Mar. Mean Flow",305
"Apr. Mean Flow",225
"May Mean Flow",165
"Jun. Mean Flow",131
"Jul. Mean Flow",96.2
"Aug. Mean Flow",95.5
"Sep. Mean Flow",84.3
"Oct. Mean Flow",89.3
"Nov. Mean Flow",132
"Dec. Mean Flow",177
