"","Model"
"1% Non-Exceedance",6.95
"5% Non-Exceedance",17.9
"50% Non-Exceedance",130
"95% Non-Exceedance",724
"99% Non-Exceedance",2260
"Sept. 10% Non-Exceedance",17.1
