"","Model"
"Overall Mean Flow",155
"Jan. Mean Flow",184
"Feb. Mean Flow",266
"Mar. Mean Flow",288
"Apr. Mean Flow",238
"May Mean Flow",173
"Jun. Mean Flow",138
"Jul. Mean Flow",97.3
"Aug. Mean Flow",84.9
"Sep. Mean Flow",87.9
"Oct. Mean Flow",82.2
"Nov. Mean Flow",99.5
"Dec. Mean Flow",127
