"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",2990,661,751,1260,1480,1500,1910,2000,1530,1130,801,674,566,3810,3920,5310,4630,3530,2410,1440,1330,2430,1730,2570,2880,248,502,251,512,275,548,365,676,439,953,363,2002,394,486,1770,9170,19300,476,1700,1410,6510,7200,6510,5690,14500,10500,5880,3780,2380,1450,1820,133000,25900,87900,18100,46200,14300,18700,8210,13200,4740,927.13698630137
"Model",3000,488,741,1240,1490,2070,2250,1820,1660,1220,775,636,460,3350,4310,5480,4360,3250,2400,1650,1490,2830,1800,2660,2550,134,323,137,333,145,355,159,553,266,882,176,1999,185,327,1900,9120,19900,307,1820,1950,4160,3540,5740,4760,13400,7150,4900,3220,2890,1860,1480,142000,32400,100000,21100,52600,15000,16600,7370,12100,4580,923.968506481409
"Pct. Error",0.334,-26.2,-1.33,-1.59,0.676,38,17.8,-9,8.5,7.96,-3.25,-5.64,-18.7,-12.1,9.95,3.2,-5.83,-7.93,-0.415,14.6,12,16.5,4.05,3.5,-11.5,-46,-35.7,-45.4,-35,-47.3,-35.2,-56.4,-18.2,-39.4,-7.45,-51.5,100,-53,-32.7,7.34,-0.545,3.11,-35.5,7.06,38.3,-36.1,-50.8,-11.8,-16.3,-7.59,-31.9,-16.7,-14.8,21.4,28.3,-18.7,6.77,25.1,13.8,16.6,13.9,4.9,-11.2,-10.2,-8.33,-3.38,-0.342
