"","Model"
"Overall Mean Flow",2470
"Jan. Mean Flow",2970
"Feb. Mean Flow",3640
"Mar. Mean Flow",4140
"Apr. Mean Flow",3460
"May Mean Flow",2530
"Jun. Mean Flow",2240
"Jul. Mean Flow",1600
"Aug. Mean Flow",1660
"Sep. Mean Flow",1770
"Oct. Mean Flow",1660
"Nov. Mean Flow",2030
"Dec. Mean Flow",2110
