"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",754,1020,35.3
"Med. 1 Day Min",917,1080,17.8
"Min. 3 Day Min",787,1020,29.6
"Med. 3 Day Min",964,1100,14.1
"Min. 7 Day Min",793,1020,28.6
"Med. 7 Day Min",1070,1120,4.67
"Min. 30 Day Min",810,1030,27.2
"Med. 30 Day Min",1340,1230,-8.21
"Min. 90 Day Min",990,1060,7.07
"Med. 90 Day Min",2000,2000,0
"7Q10",860,1040,20.9
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",1708.21095890411,1956.26927881133,14.5
"Mean Baseflow",1840,3270,77.7
