"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",3830,1060,1060,1050,1080,1160,1400,1360,1720,1750,1390,1120,1090,4440,5210,5790,5290,4300,3790,2840,2580,2690,2490,3310,3320,754,917,787,964,793,1070,810,1340,990,2000,860,2002,858,989,2820,9930,17800,1040,1840,4130,7360,7420,8750,10700,12300,12200,9120,6410,4870,4800,4630,74000,35800,49300,22000,27800,15000,14500,8110,10500,6760,1708.21095890411
"Model",3930,1220,1320,2430,2410,3610,4130,1730,1370,2140,3740,2350,1560,4440,5150,5790,4590,3240,3910,4300,3610,2860,2950,3030,3390,1020,1080,1020,1100,1020,1120,1030,1230,1060,2000,1040,2002,1050,1110,3210,9750,14300,1220,3270,2160,2690,3620,7540,5430,7490,5740,3980,4700,4880,4300,2720,20900,13800,19800,13500,18100,12600,13500,9020,10200,6660,1956.26927881133
"Pct. Error",2.61,15.1,24.5,131,123,211,195,27.2,-20.3,22.3,169,110,43.1,0,-1.15,0,-13.2,-24.7,3.17,51.4,39.9,6.32,18.5,-8.46,2.11,35.3,17.8,29.6,14.1,28.6,4.67,27.2,-8.21,7.07,0,20.9,0,22.4,12.2,13.8,-1.81,-19.7,17.3,77.7,-47.7,-63.5,-51.2,-13.8,-49.3,-39.1,-53,-56.4,-26.7,0.205,-10.4,-41.3,-71.8,-61.5,-59.8,-38.6,-34.9,-16,-6.9,11.2,-2.86,-1.48,14.5
