"","Model"
"Min. 1 Day Min",36.8
"Med. 1 Day Min",85.4
"Min. 3 Day Min",37.2
"Med. 3 Day Min",87.5
"Min. 7 Day Min",38.5
"Med. 7 Day Min",91
"Min. 30 Day Min",42.4
"Med. 30 Day Min",115
"Min. 90 Day Min",80.4
"Med. 90 Day Min",167
"7Q10",50.2
"Year of 90-Day Low Flow",1986
"Drought Year Mean",287.195765379095
"Mean Baseflow",277
