"","Model"
"Jan. Low Flow",67.4
"Feb. Low Flow",167
"Mar. Low Flow",210
"Apr. Low Flow",354
"May Low Flow",588
"Jun. Low Flow",436
"Jul. Low Flow",333
"Aug. Low Flow",191
"Sep. Low Flow",129
"Oct. Low Flow",82.3
"Nov. Low Flow",71.2
"Dec. Low Flow",75.4
