"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0.000000046,Inf
"Med. 1 Day Min",0.06,0.00000572,-100
"Min. 3 Day Min",-6.27e-15,0.000000257,-4100000000
"Med. 3 Day Min",0.07,0.00000695,-100
"Min. 7 Day Min",-9.55e-15,0.00000102,-10700000000
"Med. 7 Day Min",0.0843,0.0000329,-100
"Min. 30 Day Min",0.0213,0.00104,-95.1
"Med. 30 Day Min",0.179,0.0685,-61.7
"Min. 90 Day Min",0.0994,0.15,50.9
"Med. 90 Day Min",1.07,0.818,-23.6
"7Q10",0.00000129,0.00000149,15.5
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",1.28649315068493,1.8080237692391,40.5
"Mean Baseflow",2.35,2.43,3.4
