"","Model"
"Jan. Low Flow",14.4
"Feb. Low Flow",55
"Mar. Low Flow",63.8
"Apr. Low Flow",117
"May Low Flow",166
"Jun. Low Flow",122
"Jul. Low Flow",79.6
"Aug. Low Flow",50.4
"Sep. Low Flow",25.8
"Oct. Low Flow",14.4
"Nov. Low Flow",21.7
"Dec. Low Flow",15.1
