"","USGS Gage","Model","Pct. Error"
"1% Non-Exceedance",23,0.717,96.9
"5% Non-Exceedance",32,7.86,75.4
"50% Non-Exceedance",188,250,-33
"95% Non-Exceedance",1250,1140,8.8
"99% Non-Exceedance",2820,2910,-3.19
"Sept. 10% Non-Exceedance",27,2.41,91.1
