"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.39,0.247,-36.7
"Med. 1 Day Min",2.57,1.17,-54.5
"Min. 3 Day Min",0.4,0.28,-30
"Med. 3 Day Min",2.57,1.23,-52.1
"Min. 7 Day Min",0.42,0.296,-29.5
"Med. 7 Day Min",2.77,1.68,-39.4
"Min. 30 Day Min",0.579,0.538,-7.08
"Med. 30 Day Min",4.11,7.29,77.4
"Min. 90 Day Min",2.77,4.25,53.4
"Med. 90 Day Min",33.6,33.4,-0.595
"7Q10",0.917,0.469,-48.9
"Year of 90-Day Low Flow",1988,1999,100
"Drought Year Mean",141.087978142077,100.679171816031,-28.6
"Mean Baseflow",65.1,77.3,18.7
