"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",224,7.6,27,70,120,147,151,121,53,23,10.9,6.9,2.7,334,408,462,353,228,118,69.2,62.7,90,91.8,200,279,0,2,0,2.23,0,2.79,-4.68e-14,6.03,0.806,28.4,0.0000183,2002,0.01,2.2,105,778,1970,1.38,96.4,240,473,712,662,720,1250,1140,596,400,240,123,64,7140,2400,5930,1810,3400,1240,1940,621,1330,445,23.2747123287671
"Model",221,8.26,23.4,80.3,130,182,139,124,46.2,20.2,6.54,6.14,3.94,344,427,466,304,202,108,79.9,66.4,131,97.2,196,245,0,1.66,-1.31e-13,2.26,-1.63e-14,3.46,0.176,8.24,3.64,30.4,0.000324,1999,0,3.15,106,764,2360,1.91,101,143,654,478,831,711,1220,720,350,180,113,94,51.7,6290,2870,5270,2240,4240,1380,1700,664,1180,430,19.6863759339019
"Pct. Error",-1.34,8.68,-13.3,14.7,8.33,23.8,-7.95,2.48,-12.8,-12.2,-40,-11,45.9,2.99,4.66,0.866,-13.9,-11.4,-8.47,15.5,5.9,45.6,5.88,-2,-12.2,NA,-17,-Inf,1.35,-Inf,24,-3.76e+14,36.7,352,7.04,1670,100,-100,43.2,0.952,-1.8,19.8,38.4,4.77,-40.4,38.3,-32.9,25.5,-1.25,-2.4,-36.8,-41.3,-55,-52.9,-23.6,-19.2,-11.9,19.6,-11.1,23.8,24.7,11.3,-12.4,6.92,-11.3,-3.37,-15.4
