"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0,NA
"Med. 1 Day Min",2,1.66,-17
"Min. 3 Day Min",0,-1.31e-13,-Inf
"Med. 3 Day Min",2.23,2.26,1.35
"Min. 7 Day Min",0,-1.63e-14,-Inf
"Med. 7 Day Min",2.79,3.46,24
"Min. 30 Day Min",-4.68e-14,0.176,-3.76e+14
"Med. 30 Day Min",6.03,8.24,36.7
"Min. 90 Day Min",0.806,3.64,352
"Med. 90 Day Min",28.4,30.4,7.04
"7Q10",0.0000183,0.000324,1670
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",23.2747123287671,19.6863759339019,-15.4
"Mean Baseflow",96.4,101,4.77
