gage_number,river_segment,original_gage_area,original_segment_area,gage_area,segment_area
2077500,OD2_8830_8710,288,288.44,288,288.44
2077303,OD2_8920_8830,202,203.4,202,203.4
2071000,OD4_9140_8990,1053,1042.77,1053,1042.77
2068500,OD2_8840_9020,129,117.56,129,117.56
2073000,OD3_8630_8720,379,378,379,378
2075500,OD5_8780_8660,2587,2579.63,2587,2579.63
2074000,OD3_8720_8900,538,551.81,538,551.81
3167000,NR2_8600_8700,258,257.03,258,257.03
3531500,TU3_9230_9260,319,317,319,317
3161000,NR3_9310_9240,205,198.69,205,198.69
2072000,OD2_8560_8630,215,214.29,215,214.29
2075045,OD5_8900_8770,2116,2022.46,2116,2022.46
2075045,OD5_8890_8770,2116,2022.46,2116,2022.46
3208950,BS1_8730_8540,66.5,63.14,66.5,63.14
3209000,BS4_8540_8441,221,224.99,221,224.99
3207800,BS3_8350_8330,297,288.52,297,288.52
3475000,TU2_8790_9070,206,206.21,206,206.21
3473000,TU3_9040_9180,303,302.38,303,302.38
3473000,TU2_9200_9180,303,302.38,303,302.38
3471500,TU2_8950_9040,76.6,76.5,76.6,76.5
3168000,NR6_8640_8500,2212,2209.4,2212,2209.4
3168000,NR3_8690_8500,2212,2209.4,2212,2209.4
3168000,NR3_8740_8500,2212,2209.4,2212,2209.4
3164000,NR5_9050_8870,1141,1113.2,1141,1113.2
3164000,NR1_8960_8870,1141,1113.2,1141,1113.2
2069700,OD1_8910_8930,85.5,85.24,85.5,85.24
2070000,OD3_8850_8931,108,109.73,108,109.73
3524000,TU4_8680_8810,533,531.61,533,531.61
2052500,MN2_8530_8510,68.7,68.72,68.7,68.72
2065500,OR1_7700_7980,97.6,97.6,97.6,97.6
3488000,TU3_8650_8800,221,221.12,221,221.12
2054500,OR2_8020_8130,254,254.04,254,254.04
2053800,OR1_8280_8020,109,106.04,109,106.04
3527000,TU5_9000_9280,1123,1121.74,1123,1121.74
3527000,TU2_8970_9280,1123,1121.74,1123,1121.74
2056000,OR3_7740_8271,509,510.04,509,510.04
2054530,OR2_8130_7900,281,280.84,281,280.84
2055000,OR2_7900_7740,384,378.01,384,378.01
2052000,MN4_8260_8400,744,754.21,744,754.21
2051500,MN3_8190_8260,552,541.89,552,541.89
2051000,MN1_7990_8100,56,54.47,56,54.47
3176500,NR6_8051_8000,3783,3778.31,3783,3778.31
3170000,NR3_8420_8430,309,312.17,309,312.17
3175500,NR2_8210_8180,223,222.97,223,222.97
3173000,NR3_8290_8170,299,278.06,299,278.06
3171000,NR6_8500_7820,2767,2737.55,2767,2737.55
3171000,NR3_8430_7820,2767,2737.55,2767,2737.55
2056900,OR1_8320_8271,115,114.39,115,114.39
2077000,OD3_8340_8520,547,546.54,547,546.54
2066000,OR5_8200_8370,2966,2965,2966,2965
2058400,OR2_8460_8271,351,350.56,351,350.56
2062500,OR5_7890_7970,2404,2406.6,2404,2406.6
2074500,OD2_8670_8890,111,111.62,111,111.62
2064000,OR2_7670_7840,165,161.82,165,161.82
2059500,OR2_7650_8070,188,187.26,188,187.26
2060500,OR4_8120_7890,1782,1802.41,1782,1802.41
2045500,MN3_7930_8010,577,572.76,577,572.76
2044500,MN3_7770_7930,317,327,317,327
2047000,MN4_7710_8161,1441,1442.03,1441,1442.03
2047000,MN5_8230_8161,1441,1442.03,1441,1442.03
2046000,MN2_7720_7830,113,111.78,113,111.78
2047500,MN3_7540_7680,290,290.11,290,290.11
2049500,MN4_8080_8110,613,614.02,613,614.02
3208500,BS2_8590_8440,286,260.14,286,260.14
3208500,BS3_8580_8440,286,260.14,286,260.14
