"","Model"
"Overall Mean Flow",515
"Jan. Mean Flow",654
"Feb. Mean Flow",831
"Mar. Mean Flow",1100
"Apr. Mean Flow",792
"May Mean Flow",505
"Jun. Mean Flow",405
"Jul. Mean Flow",200
"Aug. Mean Flow",204
"Sep. Mean Flow",413
"Oct. Mean Flow",312
"Nov. Mean Flow",351
"Dec. Mean Flow",437
