"","Model"
"1% Non-Exceedance",8.68
"5% Non-Exceedance",15.1
"50% Non-Exceedance",77.7
"95% Non-Exceedance",349
"99% Non-Exceedance",1060
"Sept. 10% Non-Exceedance",14.2
