"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",333,66,119,142,178,212,229,254,202,85.5,60,38.6,18.6,355,366,450,517,449,281,181,106,280,271,386,367,1.06,11,1.13,12,1.61,13.4,8.56,24.4,24.4,77.8,3.41,2002,5.7,19.7,224,935,2260,6.98,178,675,1080,999,941,612,1150,1150,1090,700,583,250,307,18500,4160,11800,3080,6270,1870,1890,951,953,528,109.03197260274
"Model",325,78.1,99.7,197,203,191,216,184,164,112,59.7,54.1,32.8,385,438,433,431,395,257,190,117,340,225,345,361,4.9,24,5.38,25.9,6.18,30.4,17.8,60.4,63.9,121,10.1,2002,14.8,40.5,222,840,1750,32.3,181,464,896,929,787,860,1050,948,777,539,227,186,217,23400,3540,9040,2140,5580,1540,1720,743,858,471,127.983396998166
"Pct. Error",-2.4,18.3,-16.2,38.7,14,-9.91,-5.68,-27.6,-18.8,31,-0.5,40.2,76.3,8.45,19.7,-3.78,-16.6,-12,-8.54,4.97,10.4,21.4,-17,-10.6,-1.63,362,118,376,116,284,127,108,148,162,55.5,196,0,160,106,-0.893,-10.2,-22.6,363,1.69,-31.3,-17,-7.01,-16.4,40.5,-8.7,-17.6,-28.7,-23,-61.1,-25.6,-29.3,26.5,-14.9,-23.4,-30.5,-11,-17.6,-8.99,-21.9,-9.97,-10.8,17.4
