"","Model"
"Jan. Low Flow",3.96
"Feb. Low Flow",13.4
"Mar. Low Flow",23.9
"Apr. Low Flow",26.1
"May Low Flow",31.3
"Jun. Low Flow",49.4
"Jul. Low Flow",30.5
"Aug. Low Flow",13.2
"Sep. Low Flow",3.66
"Oct. Low Flow",0
"Nov. Low Flow",0.302
"Dec. Low Flow",0.17
