"","Model"
"Min. 1 Day Min",0.658
"Med. 1 Day Min",6.53
"Min. 3 Day Min",0.891
"Med. 3 Day Min",7.07
"Min. 7 Day Min",1.43
"Med. 7 Day Min",8.61
"Min. 30 Day Min",5.77
"Med. 30 Day Min",20.9
"Min. 90 Day Min",11
"Med. 90 Day Min",52.5
"7Q10",2.9
"Year of 90-Day Low Flow",1988
"Drought Year Mean",72.9078164442549
"Mean Baseflow",96.9
