"","Model"
"Jan. Low Flow",24.4
"Feb. Low Flow",36.1
"Mar. Low Flow",86.9
"Apr. Low Flow",115
"May Low Flow",142
"Jun. Low Flow",149
"Jul. Low Flow",101
"Aug. Low Flow",69.1
"Sep. Low Flow",44.6
"Oct. Low Flow",20.9
"Nov. Low Flow",16.1
"Dec. Low Flow",16.1
