"","Model"
"Overall Mean Flow",204
"Jan. Mean Flow",285
"Feb. Mean Flow",406
"Mar. Mean Flow",362
"Apr. Mean Flow",280
"May Mean Flow",225
"Jun. Mean Flow",145
"Jul. Mean Flow",95.4
"Aug. Mean Flow",89.5
"Sep. Mean Flow",78.1
"Oct. Mean Flow",105
"Nov. Mean Flow",152
"Dec. Mean Flow",238
