"","Model"
"Jan. Low Flow",13.8
"Feb. Low Flow",37.5
"Mar. Low Flow",41.8
"Apr. Low Flow",73
"May Low Flow",91.9
"Jun. Low Flow",91.3
"Jul. Low Flow",61.7
"Aug. Low Flow",44
"Sep. Low Flow",29.5
"Oct. Low Flow",23.4
"Nov. Low Flow",22.7
"Dec. Low Flow",17.1
