"","flow","rivseg","basin","river","DAsqmi","bascd","Mid","Last","Downstream","Upstream"
"4",0,"EL0_4591_0000","Eastern Shore of Chesapeake Bay","Marshyhope Creek",87.10790253,"EL","4591","0000","NA","NA"
"5",2,"EL2_4630_0000","Eastern Shore of Chesapeake Bay","Nanticoke River",86.0684967,"EL","4630","0000","NA","NA"
"7",1,"EL1_5150_0001","Eastern Shore of Chesapeake Bay","Chicamwicomico River",16.31949997,"EL","5150","0001","NA","NA"
"8",0,"EL0_5151_0000","Eastern Shore of Chesapeake Bay","Chicamwicomico River",93.9693985,"EL","5151","0000","NA","NA"
"9",0,"EL0_5271_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",31.57889938,"EL","5271","0000","NA","NA"
"10",0,"EL0_5400_0001","Eastern Shore of Chesapeake Bay","Wicomico River",38.43259811,"EL","5400","0001","NA","NA"
"11",1,"EL1_5430_0001","Eastern Shore of Chesapeake Bay","Nassawango Creek",45.38090134,"EL","5430","0001","NA","NA"
"12",1,"EL1_5570_0001","Eastern Shore of Chesapeake Bay","Dividing Creek",62.14429855,"EL","5570","0001","NA","NA"
"13",1,"EL1_5660_0000","Eastern Shore of Chesapeake Bay","Nassawango Creek",23.12229919,"EL","5660","0000","NA","NA"
"14",3,"EL3_5870_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",55.96530151,"EL","5870","0000","NA","NA"
"15",3,"EL3_5972_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",50.7765007,"EL","5972","0000","NA","NA"
"16",3,"EL3_5970_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",3.062819958,"EL","5970","0000","NA","NA"
"17",1,"EL1_6000_0001","Eastern Shore of Chesapeake Bay","Marumsco Creek",18.59970093,"EL","6000","0001","NA","NA"
"18",2,"EM2_3980_0001","Eastern Shore of Chesapeake Bay","Choptank River",114.1869965,"EM","3980","0001","NA","NA"
"19",2,"EM2_4100_0001","Eastern Shore of Chesapeake Bay","Tuckahoe River",97.21589661,"EM","4100","0001","NA","NA"
"20",2,"EM2_4101_0000","Eastern Shore of Chesapeake Bay","Tuckahoe River",54.96879959,"EM","4101","0000","NA","NA"
"21",3,"EM3_4320_0000","Eastern Shore of Chesapeake Bay","Choptank River",35.74599838,"EM","4320","0000","NA","NA"
"22",4,"EM4_4740_0000","Eastern Shore of Chesapeake Bay","Choptank River",40.66490173,"EM","4740","0000","NA","NA"
"23",1,"EU1_2650_0001","Eastern Shore of Chesapeake Bay","Big Elk Creek",53.21080017,"EU","2650","0001","NA","NA"
"24",1,"EU1_2810_0001","Eastern Shore of Chesapeake Bay","Little Northeast Creek",55.85179901,"EU","2810","0001","NA","NA"
"25",2,"EU2_3520_0001","Eastern Shore of Chesapeake Bay","Chester River Andover Branch",96.57859802,"EU","3520","0001","NA","NA"
"26",0,"EU0_3720_0000","Eastern Shore of Chesapeake Bay","Chester River",28.12689972,"EU","3720","0000","NA","NA"
"27",0,"EU0_3721_0000","Eastern Shore of Chesapeake Bay","Chester River",7.325960159,"EU","3721","0000","NA","NA"
"28",0,"EU0_3830_0001","Eastern Shore of Chesapeake Bay","Chester River Unicorn Branch",20.07729912,"EU","3830","0001","NA","NA"
"31",5,"JA5_7460_0000","James River Basin","Appomatox River",22.75839996,"JA","7460","0000","NA","NA"
"32",5,"JA5_7520_0000","James River Basin","Appomatox River",50.31200027,"JA","7520","0000","NA","NA"
"37",0,"JB0_7050_0000","James River Basin","Chicahominy River",106.9260025,"JB","7050","0000","NA","NA"
"38",0,"JB0_7051_0001","James River Basin","Yarmouth Creek",4.475359917,"JB","7051","0001","NA","NA"
