"","USGS Gage","Model","Pct. Error"
"Overall Mean Flow",53.5,53.2,0.561
"Jan. Mean Flow",77,78.2,-1.56
"Feb. Mean Flow",100,102,-2
"Mar. Mean Flow",112,113,-0.893
"Apr. Mean Flow",77.1,74.3,3.63
"May Mean Flow",39.6,39.2,1.01
"Jun. Mean Flow",20.6,20.2,1.94
"Jul. Mean Flow",20.9,24,-14.8
"Aug. Mean Flow",43,38.6,10.2
"Sep. Mean Flow",28.7,32.4,-12.9
"Oct. Mean Flow",24.3,24.2,0.412
"Nov. Mean Flow",42.1,37.4,11.2
"Dec. Mean Flow",59.8,57.9,3.18
