"","Model"
"Min. 1 Day Min",3.86
"Med. 1 Day Min",13
"Min. 3 Day Min",3.96
"Med. 3 Day Min",13.6
"Min. 7 Day Min",4.37
"Med. 7 Day Min",14.6
"Min. 30 Day Min",7.96
"Med. 30 Day Min",23
"Min. 90 Day Min",21.2
"Med. 90 Day Min",41.1
"7Q10",6.08
"Year of 90-Day Low Flow",1995
"Drought Year Mean",121.923588764863
"Mean Baseflow",84.5
