"","Propname","Riverseg","SminL30mg_apx","SminL30mg_nex","SminL90mg_apx","SminL90mg_nex","outside_pd30","outside_pd90"
"1","0. Impoundment: Lake Manassas","PL0_5141_5140",3830.588,4149.644,2971.413,3288.378,-34,-34
"2","0. Impoundment: Lake Moomaw","JU3_6900_6950",23323.565,23323.565,23323.565,23323.565,0,0
"3","0. Impoundment - Lake Chesdin","JA5_7480_0001",6404.519,6490.228,6404.519,6445.686,-21,-17
"4","0. Lake Anna: Dominion Power","YP2_6390_6330",0,0,0,0,0,0
"5","Carvins Cove Reservoir","OR3_7740_8271_carvins",5979.215,6320.919,5452.271,5839.221,-63,-73
"6","Jennings Randolph Lake","PU3_4451_4450",25855.269,27040.694,25855.269,25855.269,-41,0
