"","Propname","Riverseg","SminL30mg_apx","SminL30mg_nex","SminL90mg_apx","SminL90mg_nex","min_in_pd30","min_in_pd90","outside_pd30","outside_pd90"
"1","Moormans River","JL2_6440_6441",0,32.584,0,32.584,"FALSE","FALSE",313,256
"2","Buck Mountain Creek","JL2_6447_6440",0,520.169,0,520.169,"FALSE","FALSE",300,256
"3","Ivy Creek","JL2_6442_6441",0,520.169,0,520.169,"FALSE","FALSE",300,256
"4","Cobbs Creek Reservoir","JL6_6742_6740",8066.601,9946.116,8066.601,9946.116,"FALSE","FALSE",247,247
"5","Hunting Run","RU5_6033_6030",2660.171,2990.707,2660.171,2834.051,"FALSE","FALSE",-178,-118
"6","White Run Reservoir","RU2_6091_6090",884.542,894.287,891.172,897.668,"FALSE","FALSE",126,-90
"7","Sugar Hollow","JL2_6445_6440",28.318,28.315,28.318,28.497,"TRUE","FALSE",0,-205
"8","Bath County Pump Store - Upper","JU1_6591_6590",11472.962,11576.575,11461.163,11535.422,"FALSE","FALSE",-65,-77
"9","Ni River Reservoir","YM2_6122_6120",914.646,1358.931,1188.973,1188.973,"FALSE","TRUE",-136,0
"10","Carvins Cove Reservoir","OR3_7740_8271_carvins",5979.215,6320.919,5111.033,5839.221,"FALSE","FALSE",-63,-73
"11","Ragged Mountain","JL4_6521_6520",1536.497,1574.606,1543.217,1552.104,"FALSE","FALSE",-29,-98
"12","0. Impoundment:Western Branch Dam","JB2_7800_0001",6439.264,6445.07,6429.303,6429.303,"FALSE","TRUE",108,0
"13","Spring Hollow Reservoir","OR2_8130_7900_spring_hollow",0,3134.122,0,2579.258,"FALSE","FALSE",62,-34
"14","0. Impoundment","OR4_8271_8120",323173.118,328583.904,323173.118,323654.774,"FALSE","FALSE",-49,-29
"15","0. Impoundment: Lake Manassas","PL0_5141_5140",3840.689,4149.644,2982.969,3288.378,"FALSE","FALSE",-34,-34
"16","Rocky Pen Run","RU5_6031_6030",4716.126,4905.386,4716.126,4829.032,"FALSE","FALSE",-36,-23
"17","Motts Run","RU5_6032_6030",1245.715,1253.517,1154.187,1131.502,"TRUE","FALSE",0,-55
"18","Jennings Randolph Lake","PU3_4451_4450",25855.269,27040.694,25855.269,25855.269,"FALSE","TRUE",-41,0
"19","0. Impoundment - Lake Chesdin","JA5_7480_0001",6416.087,6490.228,6416.087,6445.686,"FALSE","FALSE",-21,-17
"20","0. Impoundment: Little Creek Reservoir","JB0_7051_0001",7719.554,7762.401,7719.554,7718.361,"FALSE","TRUE",-38,0
"21","0. Impoundment: Savage River Reservoir","PU1_4190_4300",2505.743,2516.429,1209.261,1912.94,"FALSE","FALSE",-1,-33
"22","REPLACED 0. Impoundment - Hunting Run Reservoir","RU4_6040_6030",3026.025,3026.564,2880.103,2884.689,"FALSE","FALSE",-7,-15
"23","Beaver Creek - VAHydro 1.0","JL1_6562_6560",478.37,485.384,478.37,478.37,"FALSE","TRUE",-14,0
"24","South Rivanna River Reservoir","JL2_6441_6520",808.365,847.898,808.365,808.365,"FALSE","TRUE",-13,0
"25","AMHERST COUNTY SERVICE AREA - LANUM WTP:Harris Creek","JL6_7440_7430_harris_creek",186.985,193.035,199.647,199.647,"FALSE","TRUE",-10,0
"26","0. Impoundment: Lake Mead/Lake Kilby","JB1_8090_0001",4045.852,4051.691,4045.852,4045.852,"FALSE","TRUE",-7,0
"27","0. Impoundment: Swift Creek Lake","JA2_7290_0001",4340.743,4341.17,4436.761,4436.761,"FALSE","TRUE",-1,0
"28","Lake Pelham: Mountain Run","RU4_5642_5640",575.943,575.943,570.513,570.513,"TRUE","TRUE",0,0
"29","Greensville County Raw Water Reservoir and Intake:Nottoway River","MN3_7930_8010",862.302,0,862.302,0,"0","0",0,0
"30","Blue Ridge Shadows Golf Club:Shenandoah River","PS5_4380_4370_crooked_run",0,0,0,0,"TRUE","TRUE",0,0
"31","0. Impoundment: Lake Moomaw","JU3_6900_6950",23477.612,23323.565,23477.612,23323.565,"TRUE","TRUE",0,0
"32","0. Lake Anna: Dominion Power","YP2_6390_6330",89619.29,0,89619.29,0,"0","0",0,0
"33","0. Impoundment - Motts Run Reservoir","RU5_6030_0001",1323.702,1323.702,1304.028,1304.028,"TRUE","TRUE",0,0
"34","0. Impoundment: Chickahominy Lake/Walkers Dam","JB3_7053_0001",1726.988,1726.988,1726.988,1726.988,"TRUE","TRUE",0,0
"35","Little Back Creek","JU2_6602_6600",32.584,32.584,32.584,32.584,"TRUE","TRUE",0,0
"36","0. Impoundment - Back Creek Lower Dam","JU1_6590_6600",8669.26,8664.431,8669.26,8664.431,"TRUE","TRUE",0,0
"37","0. Impoundment: Kerr Lake","OR7_8470_8490",0,0,0,0,"TRUE","TRUE",0,0
"38","0. Impoundment: Occoquan Reservoir","PL3_5250_0001",8162.848,8162.848,7993.157,7993.157,"TRUE","TRUE",0,0
"39","Black Creek Reservoir","JL1_7202_7200",0,32.584,0,32.584,"TRUE","TRUE",0,0
"40","Yarmouth Creek @ Cranstons Mill Pond","JB0_7055_7054",168.888,168.888,168.888,168.888,"TRUE","TRUE",0,0
"41","0. Impoundment: Mt. Storm Lake","PU1_4840_4760",0,0,0,0,"TRUE","TRUE",0,0
"42","Beaverdam Swamp @ Reservoir Dam","YL0_7012_7010",2151.574,2151.574,2166.27,2166.27,"TRUE","TRUE",0,0
"43","Mill Creek @ Meadows Pond","YP3_6672_6670",43.651,43.651,43.664,43.664,"TRUE","TRUE",0,0
"44","BLACKSBURG COUNTRY CLUB:North and South Fork (Confluence) Roanoke River","OR2_8020_8130",0,0,0,0,"TRUE","TRUE",0,0
"45","James River @ Fall Line Richmond","JL7_7070_0001",0,0,0,0,"TRUE","TRUE",0,0
"46","LAKE CAROLINE:Mattaponi River","YM3_6430_6620",0,912.349,0,912.349,"TRUE","TRUE",0,0
