"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",17,2.6,-84.7
"Med. 1 Day Min",22,8.09,-63.2
"Min. 3 Day Min",17.3,2.63,-84.8
"Med. 3 Day Min",22.7,8.63,-62
"Min. 7 Day Min",18,2.67,-85.2
"Med. 7 Day Min",23.3,10,-57.1
"Min. 30 Day Min",20.8,3.12,-85
"Med. 30 Day Min",28.1,18.9,-32.7
"Min. 90 Day Min",25.1,23,-8.37
"Med. 90 Day Min",43.9,44,0.228
"7Q10",19.5,4.95,-74.6
"Year of 90-Day Low Flow",1999,1993,100
"Drought Year Mean",83.6876712328767,118.042091404097,41.1
"Mean Baseflow",85.8,96,11.9
