"","Model"
"Overall Mean Flow",124
"Jan. Mean Flow",151
"Feb. Mean Flow",184
"Mar. Mean Flow",204
"Apr. Mean Flow",172
"May Mean Flow",124
"Jun. Mean Flow",111
"Jul. Mean Flow",77.4
"Aug. Mean Flow",79.7
"Sep. Mean Flow",96.3
"Oct. Mean Flow",78.9
"Nov. Mean Flow",109
"Dec. Mean Flow",110
