"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6.4,2.86,55.3
"Med. 1 Day Min",33,9.38,71.6
"Min. 3 Day Min",6.56,2.92,55.5
"Med. 3 Day Min",33.3,9.74,70.8
"Min. 7 Day Min",7.82,3.08,60.6
"Med. 7 Day Min",34.1,10.4,69.5
"Min. 30 Day Min",10.6,3.71,65
"Med. 30 Day Min",41.7,15.2,63.5
"Min. 90 Day Min",16.6,8.16,50.8
"Med. 90 Day Min",59,26.9,54.4
"7Q10",14.6,4.59,68.6
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",44.8411780821918,24.1789385522643,46.1
"Mean Baseflow",64.5,60,6.98
