"","date","mod.flow"
"1",1984-01-01,2892.107072
"2",1984-01-02,2071.2833482
"3",1984-01-03,1643.7616536
"4",1984-01-04,1431.8460387
"5",1984-01-05,1316.8577728
"6",1984-01-06,1246.2190856
"7",1984-01-07,1194.9613076
"8",1984-01-08,1150.9914895
"9",1984-01-09,1110.6920433
"10",1984-01-10,1084.8529015
"11",1984-01-11,1089.4385377
"12",1984-01-12,1056.0563203
"13",1984-01-13,1020.7567445
"14",1984-01-14,982.6609537
"15",1984-01-15,946.226696
"16",1984-01-16,919.2164078
"17",1984-01-17,890.6932029
"18",1984-01-18,879.7699584
"19",1984-01-19,869.1560896
"20",1984-01-20,837.397606
"21",1984-01-21,801.3384783
"22",1984-01-22,771.4839307
"23",1984-01-23,745.2932245
"24",1984-01-24,737.8635368
"25",1984-01-25,741.7900029
"26",1984-01-26,737.3570215
"27",1984-01-27,726.8867471
"28",1984-01-28,714.6416587
"29",1984-01-29,698.3075582
"30",1984-01-30,678.5261153
"31",1984-01-31,658.8662854
"32",1984-02-01,637.3875351
"33",1984-02-02,616.4815367
"34",1984-02-03,597.6845037
"35",1984-02-04,583.0104427
"36",1984-02-05,569.3552283
"37",1984-02-06,560.2588541
"38",1984-02-07,546.272524
"39",1984-02-08,529.3428136
"40",1984-02-09,511.8121966
"41",1984-02-10,496.0438251
"42",1984-02-11,487.2373621
"43",1984-02-12,481.8634491
"44",1984-02-13,479.4475918
"45",1984-02-14,727.5478364
"46",1984-02-15,945.2475397
"47",1984-02-16,1022.2246056
"48",1984-02-17,1016.770485
"49",1984-02-18,972.8203849
"50",1984-02-19,930.8052977
"51",1984-02-20,892.0855446
"52",1984-02-21,859.4363859
"53",1984-02-22,827.9570352
"54",1984-02-23,882.3922157
"55",1984-02-24,1025.6040497
"56",1984-02-25,1253.7085649
"57",1984-02-26,1296.4169464
"58",1984-02-27,1234.2670748
"59",1984-02-28,1205.1579131
"60",1984-02-29,1141.5824355
"61",1984-03-01,1082.0051955
"62",1984-03-02,1041.0089647
"63",1984-03-03,1014.7892492
"64",1984-03-04,1021.3128585
"65",1984-03-05,1062.2589338
"66",1984-03-06,1140.2654268
"67",1984-03-07,1189.7455369
"68",1984-03-08,1189.2971954
"69",1984-03-09,1165.4456138
"70",1984-03-10,1131.6272697
"71",1984-03-11,1096.6993677
"72",1984-03-12,1065.2739256
"73",1984-03-13,1065.8704682
"74",1984-03-14,1080.1643522
"75",1984-03-15,1168.1704826
"76",1984-03-16,1206.1203461
"77",1984-03-17,1189.4996949
"78",1984-03-18,1153.6379052
"79",1984-03-19,1163.7646029
"80",1984-03-20,1155.4106294
"81",1984-03-21,1223.398838
"82",1984-03-22,1427.7900961
"83",1984-03-23,1514.8479044
"84",1984-03-24,1472.6427726
"85",1984-03-25,1415.7489243
"86",1984-03-26,1411.1314925
"87",1984-03-27,1385.2846945
"88",1984-03-28,1408.1877556
"89",1984-03-29,1643.1142959
"90",1984-03-30,1735.5980072
"91",1984-03-31,1770.0019148
"92",1984-04-01,1773.6907504
"93",1984-04-02,1759.1824953
"94",1984-04-03,1731.4941026
"95",1984-04-04,1782.9317015
"96",1984-04-05,2479.1497645
"97",1984-04-06,4609.931912
"98",1984-04-07,4073.724669
"99",1984-04-08,3219.818155
"100",1984-04-09,2731.271494
"101",1984-04-10,2771.085947
"102",1984-04-11,3101.935029
"103",1984-04-12,3176.55757
"104",1984-04-13,3000.17105
"105",1984-04-14,2893.579248
"106",1984-04-15,2871.861577
"107",1984-04-16,2836.4646
"108",1984-04-17,2749.283544
"109",1984-04-18,2658.081362
"110",1984-04-19,2588.339264
"111",1984-04-20,2560.637291
"112",1984-04-21,2660.593598
"113",1984-04-22,2730.016678
"114",1984-04-23,2697.290962
"115",1984-04-24,2700.472464
"116",1984-04-25,2607.998229
"117",1984-04-26,2494.325324
"118",1984-04-27,2393.7036752
"119",1984-04-28,2310.8879091
"120",1984-04-29,2318.9315869
"121",1984-04-30,2353.9919053
"122",1984-05-01,2308.6175536
"123",1984-05-02,2236.1997681
"124",1984-05-03,2213.7461776
"125",1984-05-04,2330.409157
"126",1984-05-05,2593.739662
"127",1984-05-06,2613.820265
"128",1984-05-07,3496.517777
"129",1984-05-08,6356.076963
"130",1984-05-09,6858.992751
"131",1984-05-10,5290.673249
"132",1984-05-11,4275.149279
"133",1984-05-12,3710.717592
"134",1984-05-13,3385.192503
"135",1984-05-14,3208.345673
"136",1984-05-15,3072.285537
"137",1984-05-16,2953.339631
"138",1984-05-17,2853.404992
"139",1984-05-18,2760.930467
