"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",18,0.248,98.6
"Med. 1 Day Min",70,30.9,55.9
"Min. 3 Day Min",18,0.576,96.8
"Med. 3 Day Min",90.3,32.6,63.9
"Min. 7 Day Min",18.3,1.34,92.7
"Med. 7 Day Min",93.8,36.6,61
"Min. 30 Day Min",22.2,4.49,79.8
"Med. 30 Day Min",123,55.5,54.9
"Min. 90 Day Min",39.6,22.5,43.2
"Med. 90 Day Min",184,100,45.7
"7Q10",33.7,7.03,79.1
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",136.366575342466,97.4455408502979,28.5
"Mean Baseflow",239,267,-11.7
