"","Model"
"Jan. Low Flow",17.8
"Feb. Low Flow",26.9
"Mar. Low Flow",39.5
"Apr. Low Flow",63.7
"May Low Flow",104
"Jun. Low Flow",107
"Jul. Low Flow",73.9
"Aug. Low Flow",51.5
"Sep. Low Flow",36.8
"Oct. Low Flow",24.4
"Nov. Low Flow",20.8
"Dec. Low Flow",15.7
