"","Model"
"Min. 1 Day Min",3.15
"Med. 1 Day Min",10.2
"Min. 3 Day Min",3.19
"Med. 3 Day Min",10.7
"Min. 7 Day Min",3.35
"Med. 7 Day Min",11.8
"Min. 30 Day Min",4.02
"Med. 30 Day Min",16.6
"Min. 90 Day Min",9.04
"Med. 90 Day Min",30
"7Q10",5.03
"Year of 90-Day Low Flow",2002
"Drought Year Mean",26.488198669574
"Mean Baseflow",64.9
