"","Model"
"1% Non-Exceedance",1.87
"5% Non-Exceedance",7.54
"50% Non-Exceedance",85.9
"95% Non-Exceedance",851
"99% Non-Exceedance",2730
"Sept. 10% Non-Exceedance",7.33
