"","USGS Gage","Model","Pct. Error"
"1% Non-Exceedance",42.8,12,72
"5% Non-Exceedance",59.5,36.7,38.3
"50% Non-Exceedance",191,224,-17.3
"95% Non-Exceedance",1120,1110,0.893
"99% Non-Exceedance",2900,3060,-5.52
"Sept. 10% Non-Exceedance",56,30.7,45.2
