"","Model"
"Jan. Low Flow",1290
"Feb. Low Flow",1410
"Mar. Low Flow",2570
"Apr. Low Flow",2620
"May Low Flow",3970
"Jun. Low Flow",4470
"Jul. Low Flow",2200
"Aug. Low Flow",1620
"Sep. Low Flow",2290
"Oct. Low Flow",3810
"Nov. Low Flow",2460
"Dec. Low Flow",1630
