"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",66,61.6,-6.67
"Feb. Low Flow",74,73.8,-0.27
"Mar. Low Flow",112,105,-6.25
"Apr. Low Flow",123,133,8.13
"May Low Flow",142,176,23.9
"Jun. Low Flow",153,189,23.5
"Jul. Low Flow",164,162,-1.22
"Aug. Low Flow",117,136,16.2
"Sep. Low Flow",109,117,7.34
"Oct. Low Flow",85,86.2,1.41
"Nov. Low Flow",71,66.7,-6.06
"Dec. Low Flow",64,58.1,-9.22
