"","Model"
"Jan. Low Flow",42.1
"Feb. Low Flow",51.9
"Mar. Low Flow",108
"Apr. Low Flow",139
"May Low Flow",235
"Jun. Low Flow",219
"Jul. Low Flow",175
"Aug. Low Flow",159
"Sep. Low Flow",124
"Oct. Low Flow",68.8
"Nov. Low Flow",57.8
"Dec. Low Flow",47
