"","Model"
"Overall Mean Flow",83.3
"Jan. Mean Flow",119
"Feb. Mean Flow",177
"Mar. Mean Flow",155
"Apr. Mean Flow",112
"May Mean Flow",81.2
"Jun. Mean Flow",54.5
"Jul. Mean Flow",36.6
"Aug. Mean Flow",35.9
"Sep. Mean Flow",34.4
"Oct. Mean Flow",40.3
"Nov. Mean Flow",61
"Dec. Mean Flow",98.8
