"","Model"
"Jan. High Flow",70.3
"Feb. High Flow",200
"Mar. High Flow",239
"Apr. High Flow",309
"May High Flow",561
"Jun. High Flow",400
"Jul. High Flow",266
"Aug. High Flow",332
"Sep. High Flow",77.3
"Oct. High Flow",74.7
"Nov. High Flow",72.4
"Dec. High Flow",53.2
