"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",37.9,18,-52.5
"Med. 1 Day Min",82,59.3,-27.7
"Min. 3 Day Min",38.4,18.9,-50.8
"Med. 3 Day Min",88.3,64,-27.5
"Min. 7 Day Min",39.6,20.9,-47.2
"Med. 7 Day Min",91.7,70.4,-23.2
"Min. 30 Day Min",43.1,27.6,-36
"Med. 30 Day Min",118,96.3,-18.4
"Min. 90 Day Min",72.6,65.2,-10.2
"Med. 90 Day Min",175,197,12.6
"7Q10",61.3,30.3,-50.6
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",210.369315068493,153.907575655753,-26.8
"Mean Baseflow",349,379,8.6
