"","Model"
"Min. 1 Day Min",0
"Med. 1 Day Min",5.17
"Min. 3 Day Min",-4.9e-13
"Med. 3 Day Min",7.37
"Min. 7 Day Min",0.049
"Med. 7 Day Min",12.4
"Min. 30 Day Min",3.91
"Med. 30 Day Min",34.6
"Min. 90 Day Min",30.3
"Med. 90 Day Min",131
"7Q10",0.408
"Year of 90-Day Low Flow",2002
"Drought Year Mean",226.462678016378
"Mean Baseflow",318
