"","Model"
"Overall Mean Flow",102
"Jan. Mean Flow",142
"Feb. Mean Flow",170
"Mar. Mean Flow",214
"Apr. Mean Flow",144
"May Mean Flow",88.4
"Jun. Mean Flow",46
"Jul. Mean Flow",31.8
"Aug. Mean Flow",66.6
"Sep. Mean Flow",104
"Oct. Mean Flow",48.6
"Nov. Mean Flow",75.2
"Dec. Mean Flow",96.8
