"","Model"
"Overall Mean Flow",124
"Jan. Mean Flow",156
"Feb. Mean Flow",193
"Mar. Mean Flow",253
"Apr. Mean Flow",185
"May Mean Flow",121
"Jun. Mean Flow",103
"Jul. Mean Flow",54.1
"Aug. Mean Flow",56.2
"Sep. Mean Flow",104
"Oct. Mean Flow",79.3
"Nov. Mean Flow",84.9
"Dec. Mean Flow",107
