"","Model"
"Jan. Low Flow",54.7
"Feb. Low Flow",63.8
"Mar. Low Flow",169
"Apr. Low Flow",265
"May Low Flow",327
"Jun. Low Flow",321
"Jul. Low Flow",253
"Aug. Low Flow",167
"Sep. Low Flow",118
"Oct. Low Flow",6.21
"Nov. Low Flow",18.6
"Dec. Low Flow",12
