"","Model"
"Min. 1 Day Min",0
"Med. 1 Day Min",1.62
"Min. 3 Day Min",-1.54e-13
"Med. 3 Day Min",1.92
"Min. 7 Day Min",2.72e-13
"Med. 7 Day Min",3.23
"Min. 30 Day Min",2.16
"Med. 30 Day Min",27.7
"Min. 90 Day Min",8.26
"Med. 90 Day Min",90
"7Q10",0.000322
"Year of 90-Day Low Flow",1988
"Drought Year Mean",144.634310390756
"Mean Baseflow",201
