"","Model"
"Jan. Low Flow",645
"Feb. Low Flow",815
"Mar. Low Flow",1700
"Apr. Low Flow",2090
"May Low Flow",2980
"Jun. Low Flow",3100
"Jul. Low Flow",2060
"Aug. Low Flow",1480
"Sep. Low Flow",1200
"Oct. Low Flow",806
"Nov. Low Flow",722
"Dec. Low Flow",708
