"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",17.9,11.2,-37.4
"Med. 1 Day Min",80,53.9,-32.6
"Min. 3 Day Min",19,11.6,-38.9
"Med. 3 Day Min",81,55.3,-31.7
"Min. 7 Day Min",20.2,12.5,-38.1
"Med. 7 Day Min",82.6,58.1,-29.7
"Min. 30 Day Min",27.9,18.2,-34.8
"Med. 30 Day Min",91,76.3,-16.2
"Min. 90 Day Min",36.3,43.7,20.4
"Med. 90 Day Min",132,159,20.5
"7Q10",44.4,21.9,-50.7
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",75.5578082191781,99.7133568595908,32
"Mean Baseflow",194,251,29.4
