"","Model"
"Min. 1 Day Min",0.738
"Med. 1 Day Min",18.6
"Min. 3 Day Min",0.968
"Med. 3 Day Min",19.5
"Min. 7 Day Min",1.38
"Med. 7 Day Min",23.6
"Min. 30 Day Min",5.05
"Med. 30 Day Min",39.6
"Min. 90 Day Min",24.2
"Med. 90 Day Min",100
"7Q10",4.92
"Year of 90-Day Low Flow",2002
"Drought Year Mean",161.066582682178
"Mean Baseflow",242
