"","Date","agency_cd","site_no","Flow","Flow_cd","mod.flow"
"1",1984-01-01,"USGS","02011500",189,"A",321.65615171
"2",1984-01-02,"USGS","02011500",165,"A",220.32585048
"3",1984-01-03,"USGS","02011500",145,"A",206.57001303
"4",1984-01-04,"USGS","02011500",127,"A",194.09599829
"5",1984-01-05,"USGS","02011500",121,"A",182.52913234
"6",1984-01-06,"USGS","02011500",113,"A",172.64410113
"7",1984-01-07,"USGS","02011500",106,"A",165.3629999
"8",1984-01-08,"USGS","02011500",90,"A",156.83403494
"9",1984-01-09,"USGS","02011500",89,"A",147.61326027
"10",1984-01-10,"USGS","02011500",92,"A",155.63747168
"11",1984-01-11,"USGS","02011500",150,"A",155.72411873
"12",1984-01-12,"USGS","02011500",113,"A",136.32451866
"13",1984-01-13,"USGS","02011500",111,"A",125.98262595
"14",1984-01-14,"USGS","02011500",108,"A",118.54238463
"15",1984-01-15,"USGS","02011500",98,"A",111.83400246
"16",1984-01-16,"USGS","02011500",94,"A",106.61979103
"17",1984-01-17,"USGS","02011500",89,"A",100.91824629
"18",1984-01-18,"USGS","02011500",86,"A",97.09754659
"19",1984-01-19,"USGS","02011500",79,"A",92.75270484
"20",1984-01-20,"USGS","02011500",47,"A",87.33577037
"21",1984-01-21,"USGS","02011500",44,"A",83.37762519
"22",1984-01-22,"USGS","02011500",44,"A",79.73978017
"23",1984-01-23,"USGS","02011500",50,"A",76.36632063
"24",1984-01-24,"USGS","02011500",80,"A",74.86450197
"25",1984-01-25,"USGS","02011500",216,"A",71.10015415
"26",1984-01-26,"USGS","02011500",231,"A",68.69533206
"27",1984-01-27,"USGS","02011500",189,"A",69.06164027
"28",1984-01-28,"USGS","02011500",165,"A",69.74688387
"29",1984-01-29,"USGS","02011500",151,"A",68.18945693
"30",1984-01-30,"USGS","02011500",134,"A",67.28484155
"31",1984-01-31,"USGS","02011500",121,"A",64.08089877
"32",1984-02-01,"USGS","02011500",97,"A",60.04170371
"33",1984-02-02,"USGS","02011500",94,"A",57.30503296
"34",1984-02-03,"USGS","02011500",107,"A",56.82010772
"35",1984-02-04,"USGS","02011500",142,"A",58.46323873
"36",1984-02-05,"USGS","02011500",168,"A",60.52505159
"37",1984-02-06,"USGS","02011500",150,"A",59.1880777
"38",1984-02-07,"USGS","02011500",121,"A",55.0187907
"39",1984-02-08,"USGS","02011500",95,"A",52.09225034
"40",1984-02-09,"USGS","02011500",98,"A",50.04509854
"41",1984-02-10,"USGS","02011500",100,"A",48.73895336
"42",1984-02-11,"USGS","02011500",234,"A",121.52824876
"43",1984-02-12,"USGS","02011500",461,"A",312.43943971
"44",1984-02-13,"USGS","02011500",489,"A",1638.9386834
"45",1984-02-14,"USGS","02011500",4900,"A",5535.501922
"46",1984-02-15,"USGS","02011500",2030,"A",2699.6864643
"47",1984-02-16,"USGS","02011500",762,"A",2039.6739961
"48",1984-02-17,"USGS","02011500",569,"A",1647.5181847
"49",1984-02-18,"USGS","02011500",426,"A",1438.109268
"50",1984-02-19,"USGS","02011500",353,"A",1296.6703148
"51",1984-02-20,"USGS","02011500",331,"A",1281.4612466
"52",1984-02-21,"USGS","02011500",300,"A",1171.9566996
"53",1984-02-22,"USGS","02011500",256,"A",1047.5173607
"54",1984-02-23,"USGS","02011500",557,"A",964.9626579
"55",1984-02-24,"USGS","02011500",1320,"A",1395.544033
"56",1984-02-25,"USGS","02011500",1030,"A",1199.2669982
"57",1984-02-26,"USGS","02011500",645,"A",1017.024311
