"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.87,0.00656,-99.2
"Med. 1 Day Min",3.1,0.0921,-97
"Min. 3 Day Min",0.99,0.00706,-99.3
"Med. 3 Day Min",3.33,0.15,-95.5
"Min. 7 Day Min",1.04,0.00977,-99.1
"Med. 7 Day Min",3.6,0.315,-91.2
"Min. 30 Day Min",1.81,0.103,-94.3
"Med. 30 Day Min",6.26,4.62,-26.2
"Min. 90 Day Min",4.6,3.87,-15.9
"Med. 90 Day Min",16.9,23.5,39.1
"7Q10",1.95,0.0181,-99.1
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",39.0780821917808,62.5358002898224,60
"Mean Baseflow",35.3,32.3,-8.5
