"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",9.5,5.97,-37.2
"Med. 1 Day Min",25,17.2,-31.2
"Min. 3 Day Min",10.5,6.03,-42.6
"Med. 3 Day Min",25.7,18.3,-28.8
"Min. 7 Day Min",12.1,6.19,-48.8
"Med. 7 Day Min",26.3,19.7,-25.1
"Min. 30 Day Min",19.3,7.68,-60.2
"Med. 30 Day Min",33.7,28,-16.9
"Min. 90 Day Min",28.3,21.6,-23.7
"Med. 90 Day Min",59.1,60.7,2.71
"7Q10",12.8,7.79,-39.1
"Year of 90-Day Low Flow",1986,1986,0
"Drought Year Mean",154.416438356164,139.728268765961,-9.51
"Mean Baseflow",103,114,10.7
